file,map,round,start_seconds,end_seconds,winner_team,winner_side,round_type,ct_eq_val,t_eq_val
esea_match_13770997.dem,de_overpass,1,94.30782,160.9591,Hentai Hooligans,Terrorist,PISTOL_ROUND,4300,4250
esea_match_13770997.dem,de_overpass,2,160.9591,279.3998,Hentai Hooligans,Terrorist,ECO,6300,19400
esea_match_13770997.dem,de_overpass,3,279.3998,341.0084,Hentai Hooligans,Terrorist,SEMI_ECO,7650,19250
esea_match_13770997.dem,de_overpass,4,341.0084,435.4259,Hentai Hooligans,Terrorist,NORMAL,24900,23400
esea_match_13770997.dem,de_overpass,5,435.4259,484.2398,Animal Style,CounterTerrorist,ECO,5400,20550
esea_match_13770997.dem,de_overpass,6,484.2398,604.5598,Hentai Hooligans,Terrorist,NORMAL,29650,25450
esea_match_13770997.dem,de_overpass,7,604.5598,684.2563,Hentai Hooligans,Terrorist,ECO,3200,25300
esea_match_13770997.dem,de_overpass,8,684.2563,763.8902,Animal Style,CounterTerrorist,ECO,4850,27600
esea_match_13770997.dem,de_overpass,9,763.8902,844.3071,Animal Style,CounterTerrorist,FORCE_BUY,32150,18200
esea_match_13770997.dem,de_overpass,10,844.3071,937.0176,Animal Style,CounterTerrorist,ECO,32950,9950
esea_match_13770997.dem,de_overpass,11,937.0176,1031.012,Animal Style,CounterTerrorist,ECO,30100,10350
esea_match_13770997.dem,de_overpass,12,1031.012,1089.536,Animal Style,CounterTerrorist,NORMAL,30150,22800
esea_match_13770997.dem,de_overpass,13,1089.536,1171.988,Animal Style,CounterTerrorist,NORMAL,31750,19900
esea_match_13770997.dem,de_overpass,14,1171.988,1238.029,Hentai Hooligans,Terrorist,SEMI_ECO,32750,14050
esea_match_13770997.dem,de_overpass,15,1238.029,1299.653,Animal Style,CounterTerrorist,NORMAL,22000,27450
esea_match_13770997.dem,de_overpass,17,1379.35,1513.482,Hentai Hooligans,CounterTerrorist,ECO,20450,5000
esea_match_13770997.dem,de_overpass,18,1513.482,1566.337,Hentai Hooligans,CounterTerrorist,ECO,21550,1500
esea_match_13770997.dem,de_overpass,19,1566.337,1670.479,Hentai Hooligans,CounterTerrorist,NORMAL,24650,24000
esea_match_13770997.dem,de_overpass,20,1670.479,1786.007,Hentai Hooligans,CounterTerrorist,ECO,31400,4450
esea_match_13770997.dem,de_overpass,21,1786.007,1844.938,Hentai Hooligans,CounterTerrorist,NORMAL,31450,26300
esea_match_13770997.dem,de_overpass,22,1844.938,1999.946,Animal Style,Terrorist,NORMAL,30200,22050
esea_match_13770997.dem,de_overpass,23,1999.946,2100.158,Hentai Hooligans,CounterTerrorist,NORMAL,18200,29300
esea_match_13770997.dem,de_overpass,24,2100.158,2157.93,Hentai Hooligans,CounterTerrorist,FORCE_BUY,29100,16150
esea_match_13770997.dem,de_overpass,25,2157.93,2207.949,Hentai Hooligans,CounterTerrorist,SEMI_ECO,27800,10900
