DATE,FUND,COMPANY,TICKER,CUSIP,ISIN,CURRENCY,CLOSING PRICE,SHARES,MARKET VALUE,WEIGHT
3/31/2020,WUGI,ADVANCED MICRO DEVICES,AMD,7903107,US0079031078,USD,45.48,4292,195200.16,7.66%
3/31/2020,WUGI,TAIWAN SEMICONDUCTOR MAN /TWD/,2330 TT,Y84629107,TW0002330008,TWD,274,16000,144966.35,5.69%
3/31/2020,WUGI,NVIDIA CORP,NVDA,67066G104,US67066G1040,USD,263.6,492,129691.2,5.09%
3/31/2020,WUGI,QUALCOMM INC,QCOM,747525103,US7475251036,USD,67.65,1876,126911.4,4.98%
3/31/2020,WUGI,MICROSOFT CORP,MSFT,594918104,US5949181045,USD,157.71,748,117967.08,4.63%
3/31/2020,WUGI,AMAZON.COM INC,AMZN,23135106,US0231351067,USD,1949.72,56,109184.32,4.29%
3/31/2020,WUGI,MEITUAN DIANPING-CLASS B /HKD/,3690 HK,G59669104,KYG596691041,HKD,93.65,8400,101468.51,3.98%
3/31/2020,WUGI,SEA LTD-ADR,SE,81141R100,US81141R1005,USD,44.31,2276,100849.56,3.96%
3/31/2020,WUGI,MARVELL TECHNOLOGY GROUP LTD,MRVL,G5876H105,BMG5876H1051,USD,22.63,3912,88528.56,3.48%
3/31/2020,WUGI,FACEBOOK INC-CLASS A,FB,30303M102,US30303M1027,USD,166.8,476,79396.8,3.12%
3/31/2020,WUGI,TENCENT HOLDINGS LTD /HKD/,700 HK,G87572163,KYG875721634,HKD,380.2,1600,78465.06,3.08%
3/31/2020,WUGI,NETFLIX INC,NFLX,64110L106,US64110L1061,USD,375.5,208,78104,3.07%
3/31/2020,WUGI,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,US01609W1027,USD,194.48,396,77014.08,3.02%
3/31/2020,WUGI,SKYWORKS SOLUTIONS INC,SWKS,83088M102,US83088M1027,USD,89.38,860,76866.8,3.02%
3/31/2020,WUGI,MEDIATEK INC /TWD/,2454 TT,Y5945U103,TW0002454006,TWD,327.5,7000,75806.42,2.98%
3/31/2020,WUGI,QORVO INC,QRVO,74736K101,US74736K1016,USD,80.63,928,74824.64,2.94%
3/31/2020,WUGI,ALPHABET INC-CL C,GOOG,02079K107,US02079K1079,USD,1162.81,64,74419.84,2.92%
3/31/2020,WUGI,SALESFORCE.COM INC,CRM,79466L302,US79466L3024,USD,143.98,512,73717.76,2.89%
3/31/2020,WUGI,KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,US49338L1035,USD,83.68,796,66609.28,2.61%
3/31/2020,WUGI,SERVICENOW INC,NOW,81762P102,US81762P1021,USD,286.58,228,65340.24,2.57%
3/31/2020,WUGI,ELASTIC NV,ESTC,N14506104,NL0013056914,USD,55.81,1164,64962.84,2.55%
3/31/2020,WUGI,MONGODB INC,MDB,60937P106,US60937P1066,USD,136.54,472,64446.88,2.53%
3/31/2020,WUGI,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,GB00BZ09BD16,USD,137.26,436,59845.36,2.35%
3/31/2020,WUGI,BILIBILI INC-SPONSORED ADR,BILI,90040106,US0900401060,USD,23.42,2260,52929.2,2.08%
3/31/2020,WUGI,ALTERYX INC - CLASS A,AYX,02156B103,US02156B1035,USD,95.17,536,51011.12,2.00%
3/31/2020,WUGI,NXP SEMICONDUCTORS NV,NXPI,N6596X109,NL0009538784,USD,82.93,612,50753.16,1.99%
3/31/2020,WUGI,ANALOG DEVICES INC,ADI,32654105,US0326541051,USD,89.65,560,50204,1.97%
3/31/2020,WUGI,XILINX INC,XLNX,983919101,US9839191015,USD,77.94,332,25876.08,1.02%
3/31/2020,WUGI,DATADOG INC - CLASS A,DDOG,23804L103,US23804L1035,USD,35.98,720,25905.6,1.02%
3/31/2020,WUGI,INTEL CORP,INTC,458140100,US4581401001,USD,54.12,476,25761.12,1.01%
3/31/2020,WUGI,ZSCALER INC,ZS,98980G102,US98980G1022,USD,60.86,424,25804.64,1.01%
3/31/2020,WUGI,SPLUNK INC,SPLK,848637104,US8486371045,USD,126.23,200,25246,0.99%
3/31/2020,WUGI,XIAOMI CORP-CLASS B /HKD/,1810 HK,G9830T106,KYG9830T1067,HKD,10.44,18400,24777.79,0.97%
3/31/2020,WUGI,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,US98980L1017,USD,146.12,164,23963.68,0.94%
3/31/2020,WUGI,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,US83088V1026,USD,26.84,872,23404.48,0.92%
3/31/2020,WUGI,CASH,,CASH,,USD,,"17,094.63",17094.63,0.67%
